algoritmo,modelo_prompt,modelo_codigo,estrategia,temperatura,linguagem,compilou,executou,diff_correto,motivo_falha
binary-trees,ministral-3.3b,codegemma-7b,fewshot,0.7,cpp,sim,nao,-,timeout (60s)
binary-trees,ministral-3.3b,codegemma-7b,fewshot,0.7,java,sim,sim,nao,
binary-trees,ministral-3.3b,codegemma-7b,fewshot,0,java,sim,nao,-,"Exception in thread ""main"" java.util.NoSuchElementException 	at java.base/java.util.Scanner.throwFor(Scanner.java:945) 	at java.base/java.util.Scanner.next(Scanner.java:1602) 	at java.base/java.util.S"
binary-trees,ministral-3.3b,codegemma-7b,cot,0.7,java,nao,-,-,erro de compilacao: /tmp/tmpgel22v91/BinaryTrees.java:41: error: cannot find symbol         int iterations = 1 << (maxDepth - depth + minDepth);                                ^   symbol:   variable maxDepth   location: 
binary-trees,ministral-3.3b,codegemma-7b,cot,0,cpp,nao,-,-,erro de compilacao: /home/iasmin/Documentos/Faculdade/experimentos-tcc/experimento-sorts/ollama/codigo-final/binary-trees/codegemma-7b/cot/temp_0/binary-trees.cpp: In function ‘void create_bottom_up_trees(int)’: /home/ia
binary-trees,ministral-3.3b,codegemma-7b,cot,0,java,sim,sim,nao,
binary-trees,qwen3-1.7b,llama3.1-8b,fewshot,0.7,cpp,sim,sim,nao,
binary-trees,qwen3-1.7b,llama3.1-8b,fewshot,0.7,python,sim(sintaxe),nao,-,"Traceback (most recent call last):   File ""/home/iasmin/Documentos/Faculdade/experimentos-tcc/experimento-sorts/ollama/codigo-final/binary-trees/llama3.1-8b/fewshot/temp_0.7/binary-trees.py"", line 46,"
binary-trees,qwen3-1.7b,llama3.1-8b,fewshot,0,python,sim(sintaxe),sim,nao,
binary-trees,qwen3-1.7b,llama3.1-8b,cot,0.7,python,sim(sintaxe),nao,-,"Traceback (most recent call last):   File ""/home/iasmin/Documentos/Faculdade/experimentos-tcc/experimento-sorts/ollama/codigo-final/binary-trees/llama3.1-8b/cot/temp_0.7/binary-trees.py"", line 94, in "
binary-trees,qwen3-1.7b,llama3.1-8b,cot,0,cpp,sim,sim,nao,
binary-trees,gemma3-4b,stable-code-3b,cot,0.7,cpp,nao,-,-,erro de compilacao: /home/iasmin/Documentos/Faculdade/experimentos-tcc/experimento-sorts/ollama/codigo-final/binary-trees/stable-code-3b/cot/temp_0.7/binary-trees.cpp:5:130: error: stray ‘`’ in program     5 | 2. **Param
binary-trees,gemma3-4b,stable-code-3b,cot,0,java,nao,-,-,erro de compilacao: /tmp/tmp2pgztg6j/BinaryTrees.java:24: error: ';' expected         Scanner scanner = new Scanner(System.in));                                                 ^ 1 error
