algoritmo,modelo_prompt,modelo_codigo,estrategia,temperatura,linguagem,compilou,executou,diff_correto,motivo_falha
fasta,ministral-3.3b,codegemma-7b,cot,0,cpp,sim,sim,nao,
fasta,ministral-3.3b,codegemma-7b,cot,0,java,nao,-,-,/tmp/fastatest/codegemma-7b_cot_temp_0_java_java/FastaGenerator.java:5: error: i
fasta,ministral-3.3b,codegemma-7b,cot,0,python,sim(sintaxe),nao,-,UnboundLocalError: cannot access local variable 'Seed' where it is not associate
fasta,qwen3-1.7b,llama3.1-8b,cot,0.7,cpp,nao,-,-,codigo-final/fasta/llama3.1-8b/cot/temp_0.7/fasta.cpp:94:12: error: declaration 
fasta,qwen3-1.7b,llama3.1-8b,cot,0.7,java,nao,-,-,/tmp/fastatest/llama3.1-8b_cot_temp_0.7_java_java/Main.java:33: error: incompati
fasta,qwen3-1.7b,llama3.1-8b,cot,0.7,python,sim(sintaxe),nao,-,AttributeError: 'generator' object has no attribute 'next'
fasta,qwen3-1.7b,llama3.1-8b,cot,0,cpp,sim,sim,nao,
fasta,qwen3-1.7b,llama3.1-8b,cot,0,java,nao,-,-,/tmp/fastatest/llama3.1-8b_cot_temp_0_java_java/FastaGenerator.java:23: error: c
fasta,qwen3-1.7b,llama3.1-8b,cot,0,python,sim(sintaxe),nao,-,UnboundLocalError: cannot access local variable 'Seed' where it is not associate
fasta,qwen3-1.7b,llama3.1-8b,fewshot,0.7,cpp,nao,-,-,codigo-final/fasta/llama3.1-8b/fewshot/temp_0.7/fasta.cpp:41:60: error: ‘strle
fasta,qwen3-1.7b,llama3.1-8b,fewshot,0.7,java,nao,-,-,/tmp/fastatest/llama3.1-8b_fewshot_temp_0.7_java_java/Main.java:41: error: metho
fasta,qwen3-1.7b,llama3.1-8b,fewshot,0.7,python,sim(sintaxe),sim,nao,
fasta,qwen3-1.7b,llama3.1-8b,fewshot,0,cpp,sim,sim,nao,
fasta,qwen3-1.7b,llama3.1-8b,fewshot,0,java,sim,sim,nao,
fasta,qwen3-1.7b,llama3.1-8b,fewshot,0,python,sim(sintaxe),nao,-,TypeError: 'int' object is not subscriptable
fasta,mistral-7b,qwen2.5-coder-7b,cot,0.7,cpp,nao,-,-,codigo-final/fasta/qwen2.5-coder-7b/cot/temp_0.7/fasta.cpp:50:55: error: ‘seed
fasta,mistral-7b,qwen2.5-coder-7b,cot,0,cpp,nao,-,-,codigo-final/fasta/qwen2.5-coder-7b/cot/temp_0/fasta.cpp:73:62: error: cannot co
fasta,mistral-7b,qwen2.5-coder-7b,fewshot,0.7,cpp,sim,nao,-,  what():  basic_string::substr: __pos (which is 300) > this->size() (which is 2
fasta,mistral-7b,qwen2.5-coder-7b,fewshot,0,java,sim,nao,-,	at DNASequenceGenerator.main(DNASequenceGenerator.java:41)
fasta,gemma3-4b,stable-code-3b,cot,0.7,cpp,nao,-,-,codigo-final/fasta/stable-code-3b/cot/temp_0.7/fasta.cpp:1:3: error: invalid pre
fasta,gemma3-4b,stable-code-3b,cot,0,cpp,nao,-,-,codigo-final/fasta/stable-code-3b/cot/temp_0/fasta.cpp:15:33: error: expected pr
fasta,gemma3-4b,stable-code-3b,cot,0,python,nao,-,-,SyntaxError: unmatched ')'
fasta,gemma3-4b,stable-code-3b,fewshot,0.7,python,nao,-,-,SyntaxError: unmatched ')'
