### Prompt Structure
Here are three examples of Mandelbrot set generation in Java. Implement a similar program that generates the Mandelbrot set and outputs it to standard output in PBM P4 format. The N value will be provided as a command-line argument.

Example 1:
```java
// Example implementation (do not copy this directly)
final class Body { ... }
public final class nbody { ... }
static void nbody(int n) { ... }
```

Example 2:
```java
// Another example implementation
final class Mandelbrot { ... }
public class MandelbrotGenerator { ... }
static void generateMandelbrot(int width, int height) { ... }
```

Example 3:
```java
// Yet another example
public class MandelbrotSet {
    public static void main(String[] args) {
        int N = Integer.parseInt(args[0]);
        // Implementation details here...
    }
}
```
Now, implement the Mandelbrot set generator in Java. The program should:

1.  Receive an integer `N` as a command-line argument representing the width of the bitmap.
2.  Implement the Mandelbrot set calculation using 50 iterations with lim = 2.0 * 2.0.
3.  Map the complex plane coordinates to pixel coordinates:
    *   `real(C) = 2.0 * x / N - 1.5`
    *   `imag(C) = 2.0 * y / N - 1.0`
4.  Output the bitmap in PBM P4 format to standard output:
    *   Start with the header "P4\n" followed by "N N\n".
    *   Pack the pixels into bytes, with MSB first (bit 1 = in set, bit 0 = not in set).
    *   If `N` is not divisible by 8, pad the last byte of each row with zeros.
5.  Ensure the generated bitmap can be validated using the `cmp` command against a reference PBM P4 file for N=200.

### Key Requirements
*   The code must be written in Java.
*   The program must receive the value of `N` as a single command-line argument.
*   The maximum number of iterations must be 50.
*   The escape threshold (squared) must be lim = 2.0 * 2.0.
*   The output format must strictly adhere to PBM P4 format, including the header and pixel data.
*   Bit packing must follow MSB first convention with bit 1 indicating set and bit 0 indicating not set.
*   Padding of the last byte in a row with zeros when `N` is not divisible by 8 is required.
*   The output should be validatable using the `cmp` command, specifically against a reference PBM P4 file for N=200.

### Variable Values
*   `N`: Integer (width of the bitmap) - received as a command-line argument.
*   Maximum iterations: 50
*   Escape threshold (`lim`): 2.0 * 2.0
*   Coordinate mapping: `real(C) = 2.0 * x / N - 1.5`, `imag(C) = 2.0 * y / N - 1.0`

### Notes
The prompt is designed to guide the LLM towards a specific implementation of the Mandelbrot set generation algorithm, focusing on the required output format and key parameters. The examples provided demonstrate the expected structure of the Java code without detailing the core algorithm logic.  Emphasis should be placed on generating correct PBM P4 formatted output which can be validated using `cmp`.
