Rodada,Duração (s),Energia (kWh),CO2 (g),CO2eq/s (g/s)
1,3.3595740380005736,1.6327859688058732e-05,0.0016058123446012003,0.0004779809364037376
2,2.9504345069999545,1.347552867609411e-05,0.0013252912942365036,0.000449185125476342
3,3.254329919000156,1.5747441705132103e-05,0.001548729396816332,0.0004758980912704007
4,2.967404748998888,1.3499237292513684e-05,0.0013276229892441355,0.0004474020571989835
5,2.9606758000008995,1.3465861213188207e-05,0.0013243405185946338,0.0004473102116058204
6,3.240319348999037,1.5824827951730155e-05,0.0015563401793967575,0.0004803045662389802
7,3.1926355219984544,1.5441214583369713e-05,0.0015186125718452445,0.00047566111489439846
8,3.215981699000622,1.546856655533389e-05,0.0015213025835839774,0.0004730445400409859
9,3.2351356470007886,1.5733076320004922e-05,0.0015473165899198443,0.0004782849187032766
10,2.970504238999638,1.3549332290330633e-05,0.001332549732089437,0.00044859378236005923
Total (TE / TEC / TCO2),31.346995468999012,0.00014853294627575615,0.014607918200328064,
Média (ME),3.1346995468999013,1.4853294627575615e-05,0.0014607918200328063,0.00046536653441929846
