Rodada,Duração (s),Energia (kWh),CO2 (g),CO2eq/s (g/s)
1,3.734621407000304,1.795334301683233e-05,0.001765675379019426,0.0004727856418617916
2,3.731423846000325,1.8268025061306144e-05,0.0017966237287293369,0.0004814847636928513
3,4.203945285000373,2.116737409910292e-05,0.002081768907898574,0.000495194101437595
4,3.72939477899854,1.8093112900695152e-05,0.0017794214675575669,0.0004771341123707472
5,3.726947708999433,1.7851438678330043e-05,0.001755653291136403,0.00047107000908465667
6,4.028307517999565,2.1123718009051907e-05,0.002077475418754237,0.0005157191722507569
7,4.0599484340000345,2.050920235328999e-05,0.002017039033041364,0.000496813953632926
8,3.725274262998937,1.806379985310336e-05,0.0017765385879530094,0.0004768879987168656
9,4.029834942999514,1.8839480539137006e-05,0.0018528252320630465,0.0004597769532178256
10,4.218913537000844,2.0902020380617232e-05,0.0020556719003929436,0.00048725148841383614
Total (TE / TEC / TCO2),39.18861172099787,0.00019277151489146608,0.018958692946545903,
Média (ME),3.918861172099787,1.9277151489146607e-05,0.0018958692946545903,0.0004834118194679852
