Rodada,Duração (s),CO2 (g),CO2eq/s (g/s)
1,3.795594768999763,0.0018251272719674492,0.0004808540908724082
2,4.2880236299997705,0.002246878283950973,0.0005239892495534343
3,4.355178918000092,0.002181595111267812,0.0005009197445944667
4,4.118672425999648,0.002079670813729538,0.0005049371735905358
5,4.137721790999876,0.002078069143114126,0.0005022254390409277
6,4.132070042000123,0.0020675616335335202,0.0005003694546602406
7,4.141953876999651,0.002089684144003983,0.0005045165170978941
8,4.151872273999743,0.0020526605308610205,0.0004943939493792692
9,4.216611658999682,0.002255080200648068,0.0005348086053490274
10,4.128613228000177,0.0021919357890737737,0.0005309133280415096
Total (TE / TCO2),41.466312613998525,0.021068262922150263,
Média (ME),4.146631261399852,0.0021068262922150265,0.0005077927552179714
