combo,lote,Rodada,Duração (s),Energia (kWh),CO2 (g),CO2eq/s (g/s)
pidigits_codegemma-7b_cot_0_python,1,1,3.99845245799952,1.9204678343351872e-05,0.00188874170571197,0.00047236817882709883
pidigits_codegemma-7b_cot_0_python,1,2,4.039772466001523,2.1346355023795462e-05,0.0020993713238802365,0.0005196756355830475
pidigits_codegemma-7b_cot_0_python,1,3,4.008361243000763,1.9226193938829848e-05,0.001890857721496038,0.0004717283714879184
pidigits_codegemma-7b_cot_0_python,1,4,4.009573725999871,1.9386523288373327e-05,0.00190662579236494,0.0004755183275472713
pidigits_codegemma-7b_cot_0_python,1,5,4.046904231998269,2.1013657962507432e-05,0.002066651233296681,0.0005106746082489369
pidigits_codegemma-7b_cot_0_python,1,6,4.0160188950012525,1.9406956658738176e-05,0.0019086353734735822,0.0004752555760754176
pidigits_codegemma-7b_cot_0_python,1,7,4.042439646998901,2.1690905348071032e-05,0.00213325715917209,0.0005277152772721829
pidigits_codegemma-7b_cot_0_python,1,8,4.19609080599912,2.077352745690296e-05,0.0020430348783314926,0.0004868900538116527
pidigits_codegemma-7b_cot_0_python,1,9,4.018418989999191,1.9195304878365848e-05,0.0018878198441775245,0.0004697916889393121
pidigits_codegemma-7b_cot_0_python,1,10,4.048738272000264,2.1221771467652302e-05,0.002087118780300669,0.0005154985677228119
pidigits_codegemma-7b_cot_0_python,1,Total (TE / TEC / TCO2),40.424770734998674,0.00020246587436658825,0.019912113812205225,
pidigits_codegemma-7b_cot_0_python,1,Média (ME),4.042477073499867,2.0246587436658825e-05,0.0019912113812205227,0.000492511628551565
pidigits_codegemma-7b_cot_0_python,2,1,3.734621407000304,1.795334301683233e-05,0.001765675379019426,0.0004727856418617916
pidigits_codegemma-7b_cot_0_python,2,2,3.731423846000325,1.8268025061306144e-05,0.0017966237287293369,0.0004814847636928513
pidigits_codegemma-7b_cot_0_python,2,3,4.203945285000373,2.116737409910292e-05,0.002081768907898574,0.000495194101437595
pidigits_codegemma-7b_cot_0_python,2,4,3.72939477899854,1.8093112900695152e-05,0.0017794214675575669,0.0004771341123707472
pidigits_codegemma-7b_cot_0_python,2,5,3.726947708999433,1.7851438678330043e-05,0.001755653291136403,0.00047107000908465667
pidigits_codegemma-7b_cot_0_python,2,6,4.028307517999565,2.1123718009051907e-05,0.002077475418754237,0.0005157191722507569
pidigits_codegemma-7b_cot_0_python,2,7,4.0599484340000345,2.050920235328999e-05,0.002017039033041364,0.000496813953632926
pidigits_codegemma-7b_cot_0_python,2,8,3.725274262998937,1.806379985310336e-05,0.0017765385879530094,0.0004768879987168656
pidigits_codegemma-7b_cot_0_python,2,9,4.029834942999514,1.8839480539137006e-05,0.0018528252320630465,0.0004597769532178256
pidigits_codegemma-7b_cot_0_python,2,10,4.218913537000844,2.0902020380617232e-05,0.0020556719003929436,0.00048725148841383614
pidigits_codegemma-7b_cot_0_python,2,Total (TE / TEC / TCO2),39.18861172099787,0.00019277151489146608,0.018958692946545903,
pidigits_codegemma-7b_cot_0_python,2,Média (ME),3.918861172099787,1.9277151489146607e-05,0.0018958692946545903,0.0004834118194679852
pidigits_codegemma-7b_cot_0_python,3,1,4.070669628999895,2.078997800113888e-05,0.002044652756456007,0.0005022890440161682
pidigits_codegemma-7b_cot_0_python,3,2,3.7340830209996057,1.812221374971425e-05,0.0017822834778568972,0.0004773015136068892
pidigits_codegemma-7b_cot_0_python,3,3,3.7540902599994297,1.809142877537949e-05,0.001779255837201022,0.0004739512675439222
pidigits_codegemma-7b_cot_0_python,3,4,4.093755124000381,2.060202219698728e-05,0.0020261676790293043,0.000494941103621594
pidigits_codegemma-7b_cot_0_python,3,5,4.037850046999665,2.171240759384076e-05,0.002135371862039051,0.0005288388219433122
pidigits_codegemma-7b_cot_0_python,3,6,4.234867868999572,2.121297314615189e-05,0.002086253482977746,0.0004926372079397589
pidigits_codegemma-7b_cot_0_python,3,7,4.077511354000308,2.080482263439124e-05,0.002046112696447109,0.0005018042915906875
pidigits_codegemma-7b_cot_0_python,3,8,4.230217689999336,2.101559063973205e-05,0.002066841308236368,0.0004885898220137916
pidigits_codegemma-7b_cot_0_python,3,9,4.221627752000131,2.1426171643809424e-05,0.002107221128825369,0.0004991489663736945
pidigits_codegemma-7b_cot_0_python,3,10,3.7458363709993137,1.81928397451669e-05,0.0017892294032576745,0.00047765818526139845
pidigits_codegemma-7b_cot_0_python,3,Total (TE / TEC / TCO2),40.20050911699764,0.00020197044812631215,0.019863389632326547,
pidigits_codegemma-7b_cot_0_python,3,Média (ME),4.020050911699764,2.0197044812631216e-05,0.001986338963232655,0.0004937160223911217
